Date,Supply,Change
2021-01-22,4000,Let's Go!
2021-01-23,4480,12.00%
2021-01-24,5119,14.26%
2021-01-25,5904,15.33%
2021-01-26,6161,4.35%
2021-01-27,6351,3.08%
2021-01-28,6525,2.74%
2021-01-29,6613,1.34%
2021-01-30,6467,-2.21%
2021-01-31,6288,-2.77%
2021-02-01,6084,-3.24%
2021-02-02,5905,-2.94%
2021-02-03,5803,-1.73%
2021-02-04,5803,0
2021-02-05,5905,1.76%
2021-02-06,6127,3.76%
2021-02-07,6259,2.15%
2021-02-08,6434,2.80%
2021-02-09,6641,3.21%
2021-20-10,6812,2.57%
2021-02-11,6994,2.60%
2021-02-12,7204,2.99%
2021-02-13,7396,2.66%
2021-02-14,7601,2.77%
2021-02-15,7751,1.98%
2021-02-16,7751,0
2021-02-17,7831,1.03%
2021-02-18,7831,0
2021-02-19,7769,-0.79%
2021-02-20,7726,-0.55%
2021-02-21,7687,-0.51%
2021-02-22,7546,-1.84%
2021-02-24,7356,-2.52%
2021-02-24,7174,-2.47%
2021-02-25,7014,-2.23%
2021-02-26,6832,-2.59%
2021-02-27,6643,-2.77%
2021-02-28,6463,-2.71%
2021-03-01,6285,-2.75%
2021-03-02,6111,-2.77%
2021-03-03,5889,-3.63%
2021-03-04,5685,-3.46%
2021-03-05,5467,-3.83%
2021-03-06,5259,-3.8%
2021-03-07,5034,-4.28%
2021-03-08,4821,-4.23%
2021-03-09,4624,-4.09%
2021-03-10,4443,-3.91%
2021-03-11,4279,-3.69%
2021-03-12,4127,-3.55%
2021-03-13,3986,-3.42%
2021-03-14,3849,-3.44%
2021-03-15,3713,-3.53%
2021-03-16,3579,-3.61%
